#This is a simple dump of all loaded liquids, in raw form, with their block names (in brackets) and their localized names, in the format of:

#FLUIDID 										  (FLUIDBLOCK)																	   = FLUIDLOCALIZEDNAME

#ANY AND ALL CHANGES TO THIS FILE WILL BE REPLACED WHEN THIS FILE IS REGENERATED NEXT TIME THE GAME IS RUN. THIS IS FOR INFORMATIONAL PURPOSES ONLY AND IS NOT A CONFIG FILE!

water                                             (minecraft:water)                                                                = Вода
liquidhydrogenchloride                            ([no block])                                                                     = Жидкий хлороводород
liquidethene                                      ([no block])                                                                     = Жидкий этилен
liquidsodium                                      ([no block])                                                                     = Жидкий натрий
brine                                             ([no block])                                                                     = Рассол
liquiddeuterium                                   ([no block])                                                                     = Жидкий дейтерий
liquidtritium                                     ([no block])                                                                     = Жидкий тритий
liquidfusionfuel                                  ([no block])                                                                     = Жидкое Д-Т топливо
liquidlithium                                     ([no block])                                                                     = Жидкий литий
heavywater                                        ([no block])                                                                     = Тяжёлая вода
steam                                             ([no block])                                                                     = Пар
imagproj                                          (academy:imag_phase)                                                             = fluid.imagproj
poison                                            (cyclicmagic:poison)                                                             = Яд
amber                                             (cyclicmagic:amber)                                                              = Янтарь
biomass                                           (cyclicmagic:biomass)                                                            = Биомасса
crystal                                           (cyclicmagic:crystal)                                                            = Кристаллизованный обсидиан
milk                                              (cyclicmagic:milk)                                                               = Молоко
xpjuice                                           (cyclicmagic:xpjuice)                                                            = Опыт
creosote                                          ([no block])                                                                     = Креозотовое масло
coal                                              ([no block])                                                                     = Разжиженный уголь
crude_oil                                         (thermalfoundation:fluid_crude_oil)                                              = Сырая нефть
refined_oil                                       ([no block])                                                                     = Нефть
refined_fuel                                      ([no block])                                                                     = Очищенное топливо
sap                                               ([no block])                                                                     = Сок
syrup                                             ([no block])                                                                     = Сироп
resin                                             ([no block])                                                                     = Смола
tree_oil                                          ([no block])                                                                     = Древесное масло
seed_oil                                          ([no block])                                                                     = Растительное масло
biocrude                                          ([no block])                                                                     = Бионефть
refined_biofuel                                   ([no block])                                                                     = Биотопливо
mushroom_stew                                     ([no block])                                                                     = Тушёные грибы
experience                                        ([no block])                                                                     = Эссенция знаний
potion                                            ([no block])                                                                     = Зелье
potion_splash                                     ([no block])                                                                     = Взрывное зелье
potion_lingering                                  ([no block])                                                                     = Туманное зелье
redstone                                          (thermalfoundation:fluid_redstone)                                               = Дестабилизированный красный камень
glowstone                                         (thermalfoundation:fluid_glowstone)                                              = Заряженный светящийся камень
ender                                             (thermalfoundation:fluid_ender)                                                  = Резонирующий эндериум
pyrotheum                                         (thermalfoundation:fluid_pyrotheum)                                              = Пылающий пиротеум
cryotheum                                         (thermalfoundation:fluid_cryotheum)                                              = Ледяной криотеум
aerotheum                                         (thermalfoundation:fluid_aerotheum)                                              = Невесомый аэротеум
petrotheum                                        (thermalfoundation:fluid_petrotheum)                                             = Тектонический петротеум
mana                                              (thermalfoundation:fluid_mana)                                                   = Изначальная мана
platinum                                          (tconstruct:molten_platinum)                                                     = Расплавленная платина
iridium                                           (tconstruct:molten_iridium)                                                      = Расплавленный иридий
invar                                             (tconstruct:molten_invar)                                                        = Расплавленный инвар
constantan                                        (tconstruct:molten_constantan)                                                   = Расплавленный константан
signalum                                          (tconstruct:molten_signalum)                                                     = Расплавленный синал
lumium                                            (tconstruct:molten_lumium)                                                       = Расплавленный ламиум
enderium                                          (tconstruct:molten_enderium)                                                     = Расплавленный эндериум
xu_evil_metal                                     ([no block])                                                                     = Evil Infused Iron
xu_enchanted_metal                                ([no block])                                                                     = Enchanted Metal
xu_demonic_metal                                  ([no block])                                                                     = Molten Demon Metal
ic2uu_matter                                      (ic2:uu_matter)                                                                  = Жидкая материя
ic2construction_foam                              (ic2:construction_foam)                                                          = Жидкая строительная пена
ic2coolant                                        (ic2:coolant)                                                                    = Хладагент
ic2creosote                                       (ic2:creosote)                                                                   = Креозот
ic2hot_coolant                                    (ic2:hot_coolant)                                                                = Горячий хладагент
ic2pahoehoe_lava                                  (ic2:pahoehoe_lava)                                                              = Базальтовая лава
ic2biomass                                        (ic2:biomass)                                                                    = Жидкая биомасса
ic2biogas                                         (ic2:biogas)                                                                     = Биогаз
ic2distilled_water                                (ic2:distilled_water)                                                            = Дистиллированная вода
ic2superheated_steam                              (ic2:superheated_steam)                                                          = Перегретый пар
ic2steam                                          (ic2:steam)                                                                      = Пар
ic2hot_water                                      (ic2:hot_water)                                                                  = Тёплая вода
ic2weed_ex                                        (ic2:weed_ex)                                                                    = Пестицид
ic2air                                            (ic2:air)                                                                        = Воздух
ic2hydrogen                                       (ic2:hydrogen)                                                                   = Водород
ic2oxygen                                         (ic2:oxygen)                                                                     = Кислород
ic2heavy_water                                    (ic2:heavy_water)                                                                = Тяжёлая вода
ic2milk                                           (ic2:milk)                                                                       = Milk
mithril                                           (tconstruct:molten_mithril)                                                      = Molten Mithril
refinedobsidian                                   (tconstruct:molten_refinedobsidian)                                              = Molten Refined Obsidian
refinedglowstone                                  (tconstruct:molten_refinedglowstone)                                             = Molten Refined Glowstone
osmium                                            (tconstruct:molten_osmium)                                                       = Molten Osmium
manasteel                                         (tconstruct:molten_manasteel)                                                    = Molten Manasteel
terrasteel                                        (tconstruct:molten_terrasteel)                                                   = Molten Terrasteel
elvenelementium                                   (tconstruct:molten_elvenelementium)                                              = Molten Elementium
gaia                                              ([no block])                                                                     = Molten Gaia Spirit
yellorium                                         (tconstruct:molten_yellorium)                                                    = Molten Yellorium
cyanite                                           (tconstruct:molten_cyanite)                                                      = Molten Cyanite
blutonium                                         (tconstruct:molten_blutonium)                                                    = Molten Blutonium
ludicrite                                         (tconstruct:molten_ludicrite)                                                    = Molten Ludicrite
psi                                               (tconstruct:molten_psi)                                                          = Molten Psimetal
ivorypsi                                          (tconstruct:molten_ivorypsi)                                                     = Molten Ivory Psimetal
ebonypsi                                          (tconstruct:molten_ebonypsi)                                                     = Molten Ebony Psimetal
electrumflux                                      (tconstruct:molten_electrumflux)                                                 = Molten Fluxed Electrum
refinediron                                       (tconstruct:molten_refinediron)                                                  = Molten Refined Iron
tungsten                                          (tconstruct:molten_tungsten)                                                     = Molten Tungsten
titanium                                          (tconstruct:molten_titanium)                                                     = Molten Titanium
chrome                                            (tconstruct:molten_chrome)                                                       = Molten Chrome
advancedalloy                                     (tconstruct:molten_advancedalloy)                                                = Molten Advanced Alloy
creeper_acid                                      (techguns:block_creeper_acid)                                                    = Кислоты Крипера
stone                                             (tconstruct:molten_stone)                                                        = Расплавленный камень
obsidian                                          (tconstruct:molten_obsidian)                                                     = Расплавленный обсидиан
clay                                              (tconstruct:molten_clay)                                                         = Расплавленная глина
dirt                                              (tconstruct:molten_dirt)                                                         = Жидкая земля
emerald                                           (tconstruct:molten_emerald)                                                      = Жидкий изумруд
glass                                             (tconstruct:molten_glass)                                                        = Жидкое стекло
blood                                             (tconstruct:blood)                                                               = Кровь
blueslime                                         (tconstruct:blueslime)                                                           = Синяя слизь
purpleslime                                       (tconstruct:purpleslime)                                                         = Фиолетовая слизь
flux_goo                                          (thaumcraft:flux_goo)                                                            = Склизкие Выбросы
liquid_death                                      (thaumcraft:liquid_death)                                                        = Жидкая смерть
purifying_fluid                                   (thaumcraft:purifying_fluid)                                                     = Очищающая жидкость
fuelcolumn                                        ([no block])                                                                     = fluid.fuelcolumn
astralsorcery.liquidstarlight                     (astralsorcery:fluidblockliquidstarlight)                                        = Жидкий звездный свет
